python version,line_number,status,error message
13,68,-2,invalid syntax
5,69,0,
6,69,0,
7,69,-2,invalid syntax
8,69,-2,invalid syntax
9,69,-2,invalid syntax
10,69,-2,invalid syntax
11,69,-2,invalid syntax
12,69,-2,invalid syntax
13,69,-2,invalid syntax
5,75,0,
6,75,0,
7,75,-2,invalid syntax
8,75,-2,invalid syntax
9,75,-2,invalid syntax
10,75,-2,invalid syntax
11,75,-2,invalid syntax
12,75,-2,invalid syntax
13,75,-2,invalid syntax
5,79,0,
6,79,0,
7,79,-2,invalid syntax
8,79,-2,invalid syntax
9,79,-2,invalid syntax
10,79,-2,invalid syntax
11,79,-2,invalid syntax
12,79,-2,invalid syntax
13,79,-2,invalid syntax
5,80,0,
6,80,0,
7,80,-2,invalid syntax
8,80,-2,invalid syntax
9,80,-2,invalid syntax
10,80,-2,invalid syntax
11,80,-2,invalid syntax
12,80,-2,invalid syntax
13,80,-2,invalid syntax
5,82,0,
6,82,0,
7,82,-2,invalid syntax
8,82,-2,invalid syntax
9,82,-2,invalid syntax
10,82,-2,invalid syntax
11,82,-2,invalid syntax
12,82,-2,invalid syntax
13,82,-2,invalid syntax
5,86,0,
6,86,0,
7,86,-2,invalid syntax
8,86,-2,invalid syntax
9,86,-2,invalid syntax
10,86,-2,invalid syntax
11,86,-2,invalid syntax
12,86,-2,invalid syntax
13,86,-2,invalid syntax
5,87,0,
6,87,0,
7,87,-2,invalid syntax
8,87,-2,invalid syntax
9,87,-2,invalid syntax
10,87,-2,invalid syntax
11,87,-2,invalid syntax
12,87,-2,invalid syntax
13,87,-2,invalid syntax
5,89,0,
6,89,0,
7,89,-2,invalid syntax
8,89,-2,invalid syntax
9,89,-2,invalid syntax
10,89,-2,invalid syntax
11,89,-2,invalid syntax
12,89,-2,invalid syntax
13,89,-2,invalid syntax
5,9,0,
6,9,0,
7,9,-2,invalid syntax
8,9,-2,invalid syntax
9,9,-2,invalid syntax
10,9,-2,invalid syntax
11,9,-2,invalid syntax
12,9,-2,invalid syntax
13,9,-2,invalid syntax
5,93,0,
6,93,0,
7,93,-2,invalid syntax
8,93,-2,invalid syntax
9,93,-2,invalid syntax
10,93,-2,invalid syntax
11,93,-2,invalid syntax
12,93,-2,invalid syntax
13,93,-2,invalid syntax
5,94,0,
6,94,0,
7,94,-2,invalid syntax
8,94,-2,invalid syntax
9,94,-2,invalid syntax
10,94,-2,invalid syntax
11,94,-2,invalid syntax
12,94,-2,invalid syntax
13,94,-2,invalid syntax
